iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.018166858702898026,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_02:57:29,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.011577184894123033,-0.051909842211512146,-0.07001065472820474,0.9961946980917455,0.08726646259971634,2023-07-16_02:57:29,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.010157981887460034,-0.09455375834603569,-0.14526828600761058,0.9848638037124984,0.1742098460909125,2023-07-16_02:57:29,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.010023435810582172,-0.09494209636046583,-0.11552599538071504,0.988756665074868,0.15009641625670272,2023-07-16_02:57:29,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
7,0.009996744105593236,-0.09015052757572875,-0.12461160362459943,0.9881016297020886,0.15441528844814162,2023-07-16_02:57:29,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
9,0.009996095090176344,-0.09154955221511138,-0.12257827744752475,0.9882273247523619,0.15359588115881467,2023-07-16_02:57:29,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01722126896493137,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_02:57:51,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.010085378948134785,-0.12227973353226525,-0.12329378076092906,0.9848077530122081,0.17453292519943253,2023-07-16_02:57:51,0.17632698070846498,0.7,16,0.001,0.001,1000,6
4,0.010061112814583658,-0.06230717154416971,-0.11951041016451239,0.9908759146515145,0.13518871275914776,2023-07-16_02:57:51,0.06048015438300347,0.3429999999999999,16,0.001,0.001,1000,6
6,0.009804526926018298,-0.0829808048504954,-0.1186033045864743,0.98946826233464,0.14526029057824044,2023-07-16_02:57:51,0.020744692953370187,0.24009999999999995,16,0.001,0.001,1000,6
8,0.009781563887372821,-0.08744693487527004,-0.12071328103839665,0.988828264847777,0.14961683476838192,2023-07-16_02:57:51,0.0049808007781041806,0.16806999999999994,16,0.001,0.001,1000,6
9,0.009771937737241644,-0.091397608308324,-0.12365936812471182,0.9881066935662945,0.15438236047802545,2023-07-16_02:57:51,0.0049808007781041806,0.16806999999999994,16,0.001,0.001,1000,6
0,0.018437937134876847,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_02:58:17,0.2679491924311227,0.7,16,0.001,0.001,1000,6
1,0.013671509572304787,-0.16999661261050136,-0.19516262400556067,0.9659258262890684,0.26179938779914974,2023-07-16_02:58:17,0.2679491924311227,0.7,16,0.001,0.001,1000,6
4,0.010608891432639479,-0.09153297414576009,-0.15153874927208758,0.9842041059216747,0.17797558924634854,2023-07-16_02:58:17,0.09190657300387507,0.3429999999999999,16,0.001,0.001,1000,6
7,0.010448622575496438,-0.08817559972089922,-0.12054248062876285,0.9887843920581089,0.14991087918102908,2023-07-16_02:58:17,0.03152395454032915,0.3429999999999999,16,0.001,0.001,1000,6
9,0.010425100917927923,-0.09308926282974955,-0.13003062115229636,0.9871304000528816,0.1606069706462355,2023-07-16_02:58:17,0.010812716407332895,0.24009999999999995,16,0.001,0.001,1000,6
11,0.010421522718388592,-0.0928759719688587,-0.12746764538561456,0.9874847103680577,0.1583760242012595,2023-07-16_02:58:17,0.0025961332094006275,0.16806999999999994,16,0.001,0.001,1000,6
0,0.019733824767172337,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_02:58:41,0.36397023426620234,0.7,16,0.001,0.001,1000,6
2,0.01354092278052179,-0.12215213798729121,-0.21455651722168662,0.9690430104504308,0.24947161718505376,2023-07-16_02:58:41,0.25477916398634165,0.48999999999999994,16,0.001,0.001,1000,6
5,0.011225493974052371,-0.08754865274685397,-0.13656731452620727,0.9867545804329012,0.16294025578983795,2023-07-16_02:58:41,0.08738925324731517,0.3429999999999999,16,0.001,0.001,1000,6
9,0.011193917831406816,-0.0943771400758146,-0.12889232963306504,0.9871573951467271,0.1604380761175072,2023-07-16_02:58:41,0.010281258255293378,0.24009999999999995,16,0.001,0.001,1000,6
11,0.011193277430720627,-0.09276454036274738,-0.12706442723277342,0.9875471489419103,0.15797963674720855,2023-07-16_02:58:41,0.00246853010709594,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01637204270809889,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_02:58:59,0.4663076581549986,0.7,16,0.001,0.001,1000,6
3,0.008897748542949559,-0.10220190145005471,-0.12041009912536307,0.9874493300259075,0.1586001980772726,2023-07-16_02:58:59,0.15994352674716447,0.3429999999999999,16,0.001,0.001,1000,6
7,0.008896839106456233,-0.08571290546950479,-0.1294614186541157,0.9878729872387642,0.15589485607834824,2023-07-16_02:58:59,0.018817195978277145,0.24009999999999995,16,0.001,0.001,1000,6
0,0.017027719411998987,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_02:59:25,0.5773502691896257,0.7,16,0.001,0.001,1000,6
3,0.011621058220044039,-0.16299477826268702,-0.10568420156736587,0.9809503309536961,0.19550171267950558,2023-07-16_02:59:25,0.19803114233204158,0.3429999999999999,16,0.001,0.001,1000,6
5,0.011324721504934132,-0.03250568226372322,-0.14883028316822666,0.9883283500095681,0.15293413936838898,2023-07-16_02:59:25,0.1386217996324291,0.48999999999999994,16,0.001,0.001,1000,6
7,0.009937582944986598,-0.09431922196891118,-0.12095702378960406,0.9881666270235705,0.1539921103306282,2023-07-16_02:59:25,0.06792468181989025,0.3429999999999999,16,0.001,0.001,1000,6
12,0.009934566216544136,-0.09256243775178923,-0.12022892454598086,0.9884215703939099,0.15232099126160886,2023-07-16_02:59:25,0.001918704141031926,0.16806999999999994,16,0.001,0.001,1000,6
13,0.009934391360729933,-0.09077863880152022,-0.11956630331506682,0.9886673544974126,0.15069250302750217,2023-07-16_02:59:25,0.001918704141031926,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01797931268811226,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_02:59:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.012336839921773228,-0.03858080738716229,-0.07815142222154801,0.9961946980917455,0.08726646259971634,2023-07-16_02:59:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.010772668640129787,-0.09502737187266842,-0.14372627268580998,0.9850444442434148,0.17316456481454623,2023-07-16_02:59:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.010764783830381932,-0.0855784193445609,-0.1156215748827574,0.9895999118654555,0.14434794955052743,2023-07-16_02:59:48,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
7,0.010705528606195003,-0.08843960516390137,-0.12540246271652625,0.9881561913903507,0.1540601313275354,2023-07-16_02:59:48,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
9,0.010702463856432799,-0.09016525515400232,-0.1271309225103704,0.9877793049586915,0.1564970758510412,2023-07-16_02:59:48,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
0,0.017237045103684068,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:00:11,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.009494310768787033,-0.1133677125047021,-0.13153498153912155,0.9848077530122081,0.17453292519943253,2023-07-16_03:00:11,0.17632698070846498,0.7,16,0.001,0.001,1000,6
5,0.009347151615657787,-0.09287777234523076,-0.13421632925333457,0.9865899332376893,0.16395210309162891,2023-07-16_03:00:11,0.020744692953370187,0.24009999999999995,16,0.001,0.001,1000,6
7,0.009327202511485874,-0.09013299806234078,-0.13013795991225036,0.9873905782668636,0.158971763449812,2023-07-16_03:00:11,0.0049808007781041806,0.16806999999999994,16,0.001,0.001,1000,6
8,0.009320908109658597,-0.09126926032167505,-0.1253164185726568,0.9879097718701122,0.15565776081683547,2023-07-16_03:00:11,0.0049808007781041806,0.16806999999999994,16,0.001,0.001,1000,6
0,0.017583851469680667,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:00:36,0.2679491924311227,0.7,16,0.001,0.001,1000,6
1,0.013283842010423775,-0.14204286174463843,-0.2163587842801264,0.9659258262890684,0.26179938779914974,2023-07-16_03:00:36,0.2679491924311227,0.7,16,0.001,0.001,1000,6
3,0.01200949610210977,-0.046946620809051424,-0.06058320004552132,0.9970585191787168,0.07671928056312825,2023-07-16_03:00:36,0.18756443470178588,0.48999999999999994,16,0.001,0.001,1000,6
5,0.010813203291036192,-0.13511208247085763,-0.1549560841391359,0.9786385119944204,0.20706509325041408,2023-07-16_03:00:36,0.1312951042912501,0.48999999999999994,16,0.001,0.001,1000,6
7,0.010519320610911449,-0.0711026036082654,-0.09107007084349436,0.9933029054405744,0.11579795436319029,2023-07-16_03:00:36,0.09190657300387507,0.48999999999999994,16,0.001,0.001,1000,6
9,0.00998815678758628,-0.09012614552633678,-0.13139575260250658,0.9872246117731194,0.16001676810061705,2023-07-16_03:00:36,0.04503422077189878,0.3429999999999999,16,0.001,0.001,1000,6
12,0.009979026508517563,-0.09193223720532082,-0.12816677687397668,0.9874825269685338,0.1583898675780505,2023-07-16_03:00:36,0.003708761727715182,0.16806999999999994,16,0.001,0.001,1000,6
13,0.009978130692617132,-0.09518441417010004,-0.12638578210188178,0.9874039504587727,0.1588872690629358,2023-07-16_03:00:36,0.003708761727715182,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01727758999913931,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:01:03,0.36397023426620234,0.7,16,0.001,0.001,1000,6
2,0.013558645267039537,-0.06403000464847908,-0.2384445478552233,0.9690430104504308,0.24947161718505376,2023-07-16_03:01:03,0.25477916398634165,0.48999999999999994,16,0.001,0.001,1000,6
4,0.011710213962943696,-0.03512885788181037,-0.06685509900081574,0.9971441014625271,0.07559443012662827,2023-07-16_03:01:03,0.17834541479043914,0.48999999999999994,16,0.001,0.001,1000,6
6,0.009991152095608413,-0.11909473588293185,-0.15672273450601895,0.9804358359290681,0.1981327420945839,2023-07-16_03:01:03,0.12484179035330739,0.48999999999999994,16,0.001,0.001,1000,6
9,0.00948391086421907,-0.08971477585241397,-0.12651975714936048,0.9878987853239917,0.1557286120759265,2023-07-16_03:01:03,0.04282073409118443,0.3429999999999999,16,0.001,0.001,1000,6
12,0.009477740328294168,-0.09190948289701274,-0.1292242856445179,0.9873468139176161,0.15924798485025082,2023-07-16_03:01:03,0.0035264715815656283,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01688218372873962,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:01:27,0.4663076581549986,0.7,16,0.001,0.001,1000,6
3,0.00951430317945856,-0.08950038217737126,-0.13012879090151777,0.9874493300259075,0.1586001980772726,2023-07-16_03:01:27,0.15994352674716447,0.3429999999999999,16,0.001,0.001,1000,6
8,0.009494891157374,-0.0871677133009267,-0.12632389624531978,0.9881518420745312,0.1540884720147153,2023-07-16_03:01:27,0.004518008754384342,0.16806999999999994,16,0.001,0.001,1000,6
9,0.009489179472439806,-0.08934750587029403,-0.1223780752445849,0.9884536559162439,0.15210938452709563,2023-07-16_03:01:27,0.004518008754384342,0.16806999999999994,16,0.001,0.001,1000,6
0,0.017889626789838076,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:01:54,0.5773502691896257,0.7,16,0.001,0.001,1000,6
3,0.010347493283916265,-0.11435600355222307,-0.15703232996233005,0.9809503309536961,0.19550171267950558,2023-07-16_03:01:54,0.19803114233204158,0.3429999999999999,16,0.001,0.001,1000,6
6,0.010233145905658603,-0.0777516669698986,-0.10100265837957874,0.9918433048035662,0.12781086019315113,2023-07-16_03:01:54,0.06792468181989025,0.3429999999999999,16,0.001,0.001,1000,6
8,0.009957544622011483,-0.08986657450737959,-0.12063499131405306,0.9886208563736494,0.15100192164858553,2023-07-16_03:01:54,0.023298165864222353,0.24009999999999995,16,0.001,0.001,1000,6
10,0.009934295609127994,-0.0948529200345145,-0.12305231191372897,0.9878567973616481,0.1559990946200743,2023-07-16_03:01:54,0.005593889623999785,0.16806999999999994,16,0.001,0.001,1000,6
11,0.009925890481099486,-0.10029499164489591,-0.12415591952911774,0.9871809470896555,0.1602905795176856,2023-07-16_03:01:54,0.005593889623999785,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01761913998052478,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:02:13,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.01186278881505186,-0.06633843344963804,-0.056527300849624214,0.9961946980917455,0.08726646259971634,2023-07-16_03:02:13,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.010571367456577718,-0.11680159447045217,-0.1268077691509905,0.9850264855383883,0.173268762791418,2023-07-16_03:02:13,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.010344928770792003,-0.08805354347629966,-0.11919235646100129,0.9889589251543975,0.1487377049377175,2023-07-16_03:02:13,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
7,0.01034460583468947,-0.09704599126927732,-0.12399031036649222,0.9875264444630251,0.15811118706844093,2023-07-16_03:02:13,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
0,0.017165341414511204,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:02:40,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.01068654831033201,-0.05065992441402015,-0.16609413495187483,0.9848077530122081,0.17453292519943253,2023-07-16_03:02:40,0.17632698070846498,0.7,16,0.001,0.001,1000,6
4,0.009677459951490958,-0.0880060512703508,-0.1188134503133511,0.9890087456460824,0.14840113335042446,2023-07-16_03:02:40,0.06048015438300347,0.3429999999999999,16,0.001,0.001,1000,6
8,0.009654411755037407,-0.0892816207319665,-0.12574567641057158,0.9880368500534386,0.1548359077292796,2023-07-16_03:02:40,0.007115429683005972,0.24009999999999995,16,0.001,0.001,1000,6
9,0.009649962710682306,-0.09613289227560193,-0.12746109522184706,0.9871738125718159,0.1603352744131703,2023-07-16_03:02:40,0.007115429683005972,0.24009999999999995,16,0.001,0.001,1000,6
11,0.009648348670452833,-0.09450043190198096,-0.1270061348351483,0.987390049617969,0.1589751028895211,2023-07-16_03:02:40,0.0017084146668897334,0.16806999999999994,16,0.001,0.001,1000,6
12,0.00964760151691813,-0.09340085269189552,-0.12831207340685222,0.9873258289614738,0.15938026433019686,2023-07-16_03:02:40,0.0017084146668897334,0.16806999999999994,16,0.001,0.001,1000,6
0,0.017650043359026313,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:03:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
1,0.01372285862453383,-0.19966563877382804,-0.1646843368411821,0.9659258262890684,0.26179938779914974,2023-07-16_03:03:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
3,0.011284838430584022,-0.027319183065574338,-0.10327234292410623,0.99427787133356,0.1070289132421688,2023-07-16_03:03:14,0.18756443470178588,0.48999999999999994,16,0.001,0.001,1000,6
5,0.010957187274472018,-0.1494922345640451,-0.14599271922480306,0.9779254561255659,0.21050529500508613,2023-07-16_03:03:14,0.1312951042912501,0.48999999999999994,16,0.001,0.001,1000,6
7,0.009832017705776606,-0.0867656319264946,-0.1355173210022742,0.9869684801576808,0.1616163483739911,2023-07-16_03:03:14,0.06433460110271254,0.3429999999999999,16,0.001,0.001,1000,6
10,0.00983041460858685,-0.09758302737288543,-0.11634212035677076,0.9884037959253463,0.15243808992907168,2023-07-16_03:03:14,0.022066768178230396,0.3429999999999999,16,0.001,0.001,1000,6
12,0.009799382416531444,-0.09360846283219997,-0.12277126749342461,0.9880104612625569,0.15500692762849255,2023-07-16_03:03:14,0.007568901485133024,0.24009999999999995,16,0.001,0.001,1000,6
14,0.009795633726753513,-0.0922833392411203,-0.12401451205814529,0.9879798510584558,0.1552050713861301,2023-07-16_03:03:14,0.0018172932465804388,0.16806999999999994,16,0.001,0.001,1000,6
15,0.009794080979190767,-0.09202174002273182,-0.12580154582440536,0.987778300243217,0.15650352202741985,2023-07-16_03:03:14,0.0018172932465804388,0.16806999999999994,16,0.001,0.001,1000,6
0,0.017639376921579242,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:03:41,0.36397023426620234,0.7,16,0.001,0.001,1000,6
2,0.012985315406695012,-0.12807370783241576,-0.21107526917955863,0.9690430104504308,0.24947161718505376,2023-07-16_03:03:41,0.25477916398634165,0.48999999999999994,16,0.001,0.001,1000,6
4,0.012100209016352892,-0.03849318188773155,-0.06193562612235547,0.9973375823486199,0.07298766885120528,2023-07-16_03:03:41,0.17834541479043914,0.48999999999999994,16,0.001,0.001,1000,6
6,0.010023900191300736,-0.09770081454912603,-0.1250830881800244,0.9873240460394882,0.15939149803079386,2023-07-16_03:03:41,0.08738925324731517,0.3429999999999999,16,0.001,0.001,1000,6
10,0.010007753502578386,-0.08882253525283515,-0.12010774733175701,0.9887793921103685,0.14994435352561936,2023-07-16_03:03:41,0.010281258255293378,0.24009999999999995,16,0.001,0.001,1000,6
12,0.010005308082327458,-0.09100053468243277,-0.12122059731546335,0.9884454812856365,0.152163324627542,2023-07-16_03:03:41,0.00246853010709594,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01727709360420704,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:04:05,0.4663076581549986,0.7,16,0.001,0.001,1000,6
3,0.010399092629086226,-0.08651916650889403,-0.13212968802654734,0.9874493300259075,0.1586001980772726,2023-07-16_03:04:05,0.15994352674716447,0.3429999999999999,16,0.001,0.001,1000,6
7,0.010347002884373875,-0.09004026678579438,-0.11375282853676219,0.9894205599021222,0.1455894707475087,2023-07-16_03:04:05,0.018817195978277145,0.24009999999999995,16,0.001,0.001,1000,6
9,0.010338522377424789,-0.08850651305296735,-0.11798742670029311,0.9890629728626221,0.14803392796979842,2023-07-16_03:04:05,0.004518008754384342,0.16806999999999994,16,0.001,0.001,1000,6
10,0.010337517946028276,-0.09252452721807126,-0.11996253156017317,0.9884574866349826,0.15208410109083925,2023-07-16_03:04:05,0.004518008754384342,0.16806999999999994,16,0.001,0.001,1000,6
0,0.01878450228832662,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:04:30,0.5773502691896257,0.7,16,0.001,0.001,1000,6
3,0.011056302755605431,-0.11661298631708496,-0.15536363674954803,0.9809503309536961,0.19550171267950558,2023-07-16_03:04:30,0.19803114233204158,0.3429999999999999,16,0.001,0.001,1000,6
6,0.010974713077303588,-0.07098428744750601,-0.10638980603062016,0.9917874974551439,0.12824794808398693,2023-07-16_03:04:30,0.06792468181989025,0.3429999999999999,16,0.001,0.001,1000,6
8,0.010657680802978575,-0.08443763108245968,-0.1251262090832035,0.9885412071621743,0.15153048501498428,2023-07-16_03:04:30,0.023298165864222353,0.24009999999999995,16,0.001,0.001,1000,6
10,0.010633406694978476,-0.08989207503786367,-0.1262023407925871,0.9879232682875017,0.15557067981158545,2023-07-16_03:04:30,0.005593889623999785,0.16806999999999994,16,0.001,0.001,1000,6
11,0.010626342496834697,-0.09435160869910182,-0.12947323403109576,0.9870838138706463,0.1608980232370306,2023-07-16_03:04:30,0.005593889623999785,0.16806999999999994,16,0.001,0.001,1000,6
0,0.018735174788162112,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:04:52,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.01273292279802284,-0.0366580869868695,-0.07907153819396141,0.9961946980917455,0.08726646259971634,2023-07-16_03:04:52,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.01107634056825275,-0.0890367134640429,-0.1479290560804287,0.9849819582219135,0.1735268469933986,2023-07-16_03:04:52,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.01100926299113865,-0.10266928731728107,-0.12130707144342581,0.9872910471890147,0.15959927316584968,2023-07-16_03:04:52,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
7,0.010963434353470806,-0.09434555351170452,-0.1273607722438422,0.9873591799472076,0.1591699840649104,2023-07-16_03:04:52,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
9,0.010962264961563054,-0.09411783158165801,-0.12980366952858796,0.9870627341538528,0.16102954983749634,2023-07-16_03:04:52,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
0,0.017992726294323802,4.30745419121687e-17,-1.1490527918553384e-16,1.0,0.0,2023-07-16_03:05:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.010765047743916713,-0.1155316498766318,-0.12963844909527886,0.9848077530122081,0.17453292519943253,2023-07-16_03:05:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
