iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,desviacion,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
1.0,5.231433887329864e-18,-0.0972568679696865,0.9921914682490728,-0.0780845180972269,0.1113500031923873,2023-06-26_14:32:14,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,1
1.0,4.915395058643259e-18,0.0424478669897151,0.8960909728415057,-0.4418361087326242,0.4283046095921364,2023-06-26_14:32:14,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,1
1.0,5.102441378054389e-19,0.3171248136336346,0.9054122920276536,-0.2822418006303518,0.4154389977882382,2023-06-26_14:32:14,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,1
1.0,3.929234881850908e-18,-0.2529208944076791,0.6079991951922525,-0.7525742487074567,0.8886673275011066,2023-06-26_14:32:14,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,1
1.0,9.699293422104116e-19,-0.0892172546882221,0.8257736322254099,-0.5569005205484644,0.5688127819733964,2023-06-26_14:32:14,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,1
1.0,3.052382693899531e-18,0.6372322501304566,0.7627248570259529,0.1103895460105485,0.705767658195925,2023-06-26_14:32:14,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,1
5.0,0.0016597799258306,5.9457078673120193e-05,0.9983061910748704,-0.0581785641490058,0.0270156022609144,2023-06-26_14:34:46,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,2
5.0,0.0016745245084174,-0.0174497516642645,0.9985035068201554,-0.0518290751866899,0.0292795282139215,2023-06-26_14:34:46,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,2
6.0,0.0016737781697895,-0.0068459658848299,0.999714062344144,-0.0229112702064351,0.0134009501255149,2023-06-26_14:34:46,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,2
9.0,0.0016344883479186,0.0030593644435086,0.9993631911479148,-0.0355507027758625,0.0041657146070937,2023-06-26_14:34:46,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,2
6.0,0.0017151039792231,-0.0189967129640784,0.9990833060042148,-0.0383623847049262,0.0235611632250836,2023-06-26_14:34:46,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,2
6.0,0.0017481435788813,-0.0228562436692589,0.9989033471926324,-0.0408619027051695,0.0280172838739079,2023-06-26_14:34:46,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,2
5.0,0.0034557145554576,-0.0193243017700923,0.998676643232166,-0.0476606087207353,0.0280397008278783,2023-06-26_14:37:33,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,3
2.0,0.0032053383765749,-0.0541108333201063,0.997900148981084,0.0355993030961892,0.0884221862914113,2023-06-26_14:37:33,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,3
7.0,0.003128712065519,0.0019972344905336,0.9985326744246216,-0.0541157016105584,0.0227753306531213,2023-06-26_14:37:33,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,3
8.0,0.0032858912600219,0.0118234964935104,0.9993679225523696,-0.0335255172074784,0.0085775841336465,2023-06-26_14:37:33,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,3
8.0,0.0034736074740069,0.0116450701370894,0.998825331881317,-0.047035611335234,0.0176272538222766,2023-06-26_14:37:33,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,3
7.0,0.0036019735271113,0.0113535458634417,0.998373775389957,-0.05586503029562,0.0257052597514936,2023-06-26_14:37:33,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,3
5.0,0.0052389318589121,-0.0031958398653162,0.998388236377692,-0.0566631809043273,0.026151341512916,2023-06-26_14:43:19,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,4
8.0,0.0049359111581,-0.0136530564611497,0.9986328158132344,-0.0504588270791057,0.0256553477169261,2023-06-26_14:43:19,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,4
6.0,0.0051514166407294,-0.0091859682077721,0.9983187017255,-0.057231003601177,0.0287976841869507,2023-06-26_14:43:19,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,4
8.0,0.0049078429583462,-0.0034771805300814,0.9995459946789332,-0.0299284770221155,0.0071445270484346,2023-06-26_14:43:19,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,4
8.0,0.0048020839458345,-0.0015896606924555,0.9990301481635616,-0.0440026821816038,0.0135931666220485,2023-06-26_14:43:19,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,4
8.0,0.0054937317036096,0.0033641574892924,0.9989859233634736,-0.0448977434401294,0.013496586499712,2023-06-26_14:43:19,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,4
5.0,0.0062150054145604,0.0068219297394025,0.9991109386133338,-0.0416028078116583,0.0107222637586521,2023-06-26_14:46:48,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,5
7.0,0.0048537361435594,-0.0029805769203289,0.999547191752744,-0.0299420710777515,0.0066565453343587,2023-06-26_14:46:48,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,5
